"identifier","priority","status","title","assignment"
"BET-388","high","blocked","QA sweep: CTA links and conversion paths","assigned"
"BET-186","high","blocked","QA: Verify Heritage game panels on mobile and 56px touch targets","assigned"
"BET-268","high","blocked","Spotter QA validation for Sprint 3 game flow UX","assigned"
"BET-293","high","in_review","Mobile-first betting card readability + tap-target polish on create flow","assigned"
"BET-38","high","blocked","Full site QA crawl: find all 404s, broken links, mobile issues","assigned"
"BET-24","high","in_review","Implement Sprint 3 cards + round-scoring UX from approved design spec","assigned"
"BET-54","high","blocked","Verify Resend domain and test welcome email delivery","assigned"
"BET-53","high","blocked","Verify and test Stripe end-to-end: create event, pay, activate","assigned"
"BET-161","high","blocked","SMOKE TEST: All 7 demo pages load with real data","assigned"
"BET-160","high","blocked","SMOKE TEST: Course search in Quick Start and create wizard","assigned"
"BET-84","high","in_review","Stitch: Match Play card 'The Duel' — head-to-head confrontation layout","assigned"
"BET-81","high","in_review","Stitch: Skins card 'The Auction House' — gold pot stacking, trophy reveals","assigned"
"BET-82","high","in_review","Stitch: Nassau card 'The Triple Crown' — three stacked linen bet sections","assigned"
"BET-83","high","in_review","Stitch: Wolf card 'The War Room' — circular rotation wheel, alliance timeline","assigned"
"BET-164","medium","blocked","SMOKE TEST: Settlement ceremony and share card","assigned"
"BET-85","medium","in_review","Stitch: Scramble card 'The Team Trophy' — pennant banners, CTP/Long Drive","assigned"
