identifier,title,priority,status,assignee,assignment_state,updated_at
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","spotter","assigned","2026-04-03T14:32:15.112Z"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","spotter","assigned","2026-04-03T14:44:50.377Z"
"BET-175","QA handoff: verify pricing copy and CTA/link paths on core marketing pages","high","backlog","spotter","assigned","2026-04-03T14:17:35.336Z"
"BET-186","QA: Verify Heritage game panels on mobile and 56px touch targets","high","todo","spotter","assigned","2026-04-03T16:46:02.325Z"
"BET-222","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:52:08.715Z"
"BET-229","SMOKE TEST: Verify all agent code changes don't break the site","high","todo","spotter","assigned","2026-04-03T16:48:34.704Z"
"BET-230","Caddie QA: pricing + CTA consistency audit","high","backlog","","unassigned","2026-04-03T15:27:46.025Z"
"BET-232","Spotter QA: links + CTA destination regression","high","backlog","","unassigned","2026-04-03T15:27:46.148Z"
"BET-24","Implement Sprint 3 cards + round-scoring UX from approved design spec","high","in_review","spotter","assigned","2026-04-03T16:45:43.528Z"
"BET-247","QA regression: season pass checkout + pricing consistency","high","todo","spotter","assigned","2026-04-03T16:50:03.511Z"
"BET-250","QA pass: verify CTA targets and conversion paths on public pages","high","todo","spotter","assigned","2026-04-03T16:50:22.823Z"
"BET-259","QA validation: mobile tap-target + selection feedback regression for odds UX","high","todo","spotter","assigned","2026-04-03T16:52:26.141Z"
"BET-265","QA regression: invalid eventSlug checkout guard","high","backlog","spotter","assigned","2026-04-03T15:54:59.365Z"
"BET-268","Spotter QA validation for Sprint 3 game flow UX","high","todo","spotter","assigned","2026-04-03T16:54:13.577Z"
"BET-284","QA sweep: CTA links + blocked internal routes + affiliate canonical redirect","high","todo","spotter","assigned","2026-04-03T16:54:30.328Z"
"BET-293","Mobile-first betting card readability + tap-target polish on create flow","high","in_review","spotter","assigned","2026-04-03T17:44:17.607Z"
"BET-296","QA verification: /tour route no longer loops on mobile + desktop","high","todo","spotter","assigned","2026-04-03T16:55:14.424Z"
"BET-303","Bug: /pricing/ route returns 404 while used as QA target page","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T16:26:19.794Z"
"BET-312","QA: Verify /api/email-capture 500 fix + idempotent duplicate-submit behavior","critical","blocked","spotter","assigned","2026-04-03T17:44:00.009Z"
"BET-330","QA pass for marketing CTAs and key routes","high","todo","spotter","assigned","2026-04-03T18:11:02.448Z"
"BET-38","Full site QA crawl: find all 404s, broken links, mobile issues","high","blocked","spotter","assigned","2026-04-03T16:51:53.375Z"
"BET-53","Verify and test Stripe end-to-end: create event, pay, activate","high","blocked","spotter","assigned","2026-04-03T14:53:06.958Z"
"BET-54","Verify Resend domain and test welcome email delivery","high","blocked","spotter","assigned","2026-04-03T15:10:30.087Z"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","spotter","assigned","2026-04-03T16:47:30.537Z"
"BET-81","Stitch: Skins card 'The Auction House' — gold pot stacking, trophy reveals","high","in_review","spotter","assigned","2026-04-03T12:47:53.460Z"
"BET-82","Stitch: Nassau card 'The Triple Crown' — three stacked linen bet sections","high","in_review","spotter","assigned","2026-04-03T12:46:33.622Z"
"BET-83","Stitch: Wolf card 'The War Room' — circular rotation wheel, alliance timeline","high","in_review","spotter","assigned","2026-04-03T12:44:59.711Z"
"BET-84","Stitch: Match Play card 'The Duel' — head-to-head confrontation layout","high","in_review","spotter","assigned","2026-04-03T12:57:07.709Z"
