page,purpose,live_status,public_intent,actual_exposure,pricing_status,link_health,status_notes
/,Marketing homepage and primary conversion,200,Public,Public,Correct,Working,Primary CTAs reference $32/event
/create/,Event creation and checkout handoff,200,Public,Public,Correct,Working,Contains $32/event and $149/season options
/tour/,Tour/product explainer for tournament formats,200,Public,Public,Correct,Working,No $199 pricing found in current live page
/pricing/,Canonical pricing page,200,Public,Public,Correct,Working,All key sections show $32/event and $149/season
/demo/,Interactive demo index,200,Public,Public,Correct,Working,Pricing CTA aligned to $32/event
/affiliates/,Affiliate landing page,200,Public,Public,Correct,Working,Affiliate payouts reference event economics
/affiliate/,Legacy alias route,301,Public alias,Public redirect,N/A,Working,Redirects to /affiliates/
/games/,Game format hub,200,Public,Public,Correct,Working,Uses $32/event CTA copy
/guides/,Guide index,200,Public,Public,N/A,Working,No pricing drift detected in sampled copy
/overview/,GM operations guide,200,Public,Public,N/A,Working,Operational guide surface
/courses/,Course search/content,200,Public,Public,N/A,Working,No pricing references in core route
/walkthrough/,Product walkthrough page,200,Public,Public,N/A,Working,No pricing anomalies flagged in this pass
/my-events/,Commissioner dashboard,200,Public authenticated,Public,N/A,Working,Loads publicly; functional data gated by email/API
/register/,Player registration shell,200,Public,Public,N/A,Working,Event-specific content injected by slug config
/partner/,Partner dashboard,200,Public partner flow,Public,N/A,Working,No core pricing mismatch flagged
/share/,Share page,200,Public,Public,N/A,Working,No pricing mismatch flagged
/pro/,Pro page,200,Public,Public,N/A,Working,No pricing mismatch flagged
/inventory/,Internal/ops inventory surface,200,Internal,Public,N/A,Working,Should be reviewed for exposure policy
/b/,Shortlink/utility surface,200,Public utility,Public,N/A,Working,No pricing checks required
/app/,App shell,200,Public product,Public,N/A,Working,Runtime app route
/mclemore/,Event-specific landing flow,200,Campaign-specific,Public,N/A,Working,Should confirm still intended to stay public
/marketing/,Internal docs alias,404,Internal,Not exposed,N/A,Broken (expected),Known issue appears mitigated at alias path
/gtm/,Internal docs alias,404,Internal,Not exposed,N/A,Broken (expected),Known issue appears mitigated at alias path
/ads/,Internal docs alias,404,Internal,Not exposed,N/A,Broken (expected),Known issue appears mitigated at alias path
/marketing-private/,Internal marketing dashboard,200,Internal,Public,Mismatch (internal docs),Working,Publicly reachable private route
/gtm-private/,Internal GTM dashboard,200,Internal,Public,Mismatch (uses $149/event),Working,Publicly reachable private route
/ads-private/,Internal ads dashboard,200,Internal,Public,N/A,Working,Publicly reachable private route
/join/,Deprecated root join route,404,Public (legacy),Not available,N/A,Broken,Known 404 confirmed
/about/,About page (expected marketing route),404,Public,Not available,N/A,Broken,Known 404 confirmed
/games/stroke-play/,Game detail route placeholder,404,Public,Not available,N/A,Broken,Known 404 confirmed
/games/round-robin/,Game detail route placeholder,404,Public,Not available,N/A,Broken,Known 404 confirmed
/games/chapman/,Game detail route placeholder,404,Public,Not available,N/A,Broken,Known 404 confirmed
