"identifier","title","priority","status","assignee","assignment_state","updated_at","followup_action"
"BET-296","QA verification: /tour route no longer loops on mobile + desktop","high","blocked","Caddie","assigned","2026-04-03T19:01:38.794Z","daily P1 follow-up"
"BET-186","QA: Verify Heritage game panels on mobile and 56px touch targets","high","blocked","Spotter","assigned","2026-04-03T19:00:41.053Z","daily P1 follow-up"
"BET-366","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","high","todo","Founding Engineer","assigned","2026-04-03T18:59:01.331Z","daily P1 follow-up"
"BET-352","Manual device QA follow-up: /tour routing validation on physical iPhone browsers","high","blocked","Caddie","assigned","2026-04-03T18:58:42.706Z","daily P1 follow-up"
"BET-259","QA validation: mobile tap-target + selection feedback regression for odds UX","high","blocked","Spotter","assigned","2026-04-03T18:56:10.200Z","daily P1 follow-up"
"BET-328","Pricing consistency audit handoff","high","blocked","Caddie","assigned","2026-04-03T18:45:50.109Z","daily P1 follow-up"
"BET-268","Spotter QA validation for Sprint 3 game flow UX","high","blocked","Spotter","assigned","2026-04-03T18:31:54.965Z","daily P1 follow-up"
"BET-349","Bug: Homepage /cards/* links return 404 from game format section","high","in_progress","Founding Engineer","assigned","2026-04-03T18:23:07.648Z","monitor"
"BET-335","Bug: Homepage and courses pages expose internal links that 404","high","todo","Founding Engineer","assigned","2026-04-03T17:51:04.163Z","daily P1 follow-up"
"BET-334","Bug: Public pricing page /pricing/ returns 404 Event not found","high","in_progress","Founding Engineer","assigned","2026-04-03T17:46:42.045Z","monitor"
"BET-222","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","high","in_progress","Founding Engineer","assigned","2026-04-03T16:52:08.715Z","monitor"
"BET-38","Full site QA crawl: find all 404s, broken links, mobile issues","high","blocked","Spotter","assigned","2026-04-03T16:51:53.375Z","daily P1 follow-up"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","Spotter","assigned","2026-04-03T16:47:30.537Z","daily P1 follow-up"
"BET-133","Normalize outreach/email pricing language to $149 season pass (not per-event where applicable)","high","in_review","Birdie","assigned","2026-04-03T16:46:51.944Z","monitor"
"BET-225","WRITE CODE: Fix /pricing/ page — Season Pass $9.99/mo conflict","high","blocked","Shank","assigned","2026-04-03T16:35:19.799Z","daily P1 follow-up"
"BET-277","Bug: Redesigned game cards missing Tailwind config block","high","todo","Divot","assigned","2026-04-03T16:24:00.881Z","daily P1 follow-up"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","todo","Founding Engineer","assigned","2026-04-03T16:23:49.664Z","daily P1 follow-up"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","Founding Engineer","assigned","2026-04-03T16:04:34.140Z","daily P1 follow-up"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","in_progress","Founding Engineer","assigned","2026-04-03T16:02:30.729Z","monitor"
"BET-216","Mitigation: normalize exposed private-page pricing copy to canonical offer","high","todo","Founding Engineer","assigned","2026-04-03T15:16:29.648Z","daily P1 follow-up"
"BET-195","Unify pricing + checkout entry points across public pages ($32/$149 canonical)","high","in_progress","Founding Engineer","assigned","2026-04-03T15:14:10.774Z","monitor"
"BET-89","Shareable settlement card: screenshot-optimized HTML for group chat","high","in_review","Founding Engineer","assigned","2026-04-03T15:00:46.576Z","monitor"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","Spotter","assigned","2026-04-03T14:44:50.377Z","daily P1 follow-up"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","Shank","assigned","2026-04-03T14:44:44.360Z","daily P1 follow-up"
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","Spotter","assigned","2026-04-03T14:32:15.112Z","daily P1 follow-up"
"BET-90","Venmo deep links on settlement: pre-filled pay buttons per player","high","in_review","Founding Engineer","assigned","2026-04-03T12:52:03.276Z","monitor"
"BET-354","Bug: /pricing/ returns 404, blocking Stripe checkout entry","critical","in_review","Shank","assigned","2026-04-03T19:03:34.046Z","monitor"
"BET-280","Bug: /tour/ endpoint is stuck in infinite self-redirect loop","critical","blocked","Wedge","assigned","2026-04-03T18:58:17.568Z","daily P0 follow-up"
"BET-353","Bug: /tour/ enters infinite 307 redirect loop and never resolves","critical","blocked","Shank","assigned","2026-04-03T18:55:54.518Z","daily P0 follow-up"
"BET-355","Bug: Demo event page JS parse error prevents demo content/odds/settlement rendering","critical","todo","Founding Engineer","assigned","2026-04-03T18:55:43.536Z","daily P0 follow-up"
"BET-322","CTO execution pack: April 3 priorities (demo live, Stripe parity, drip trigger, tappable odds, Sprint 3 UX)","critical","in_progress","Wedge","assigned","2026-04-03T18:54:39.640Z","monitor"
"BET-344","P0 route hardening: stabilize public pricing/tour paths and trailing-slash behavior","critical","blocked","Shank","assigned","2026-04-03T18:52:48.469Z","daily P0 follow-up"
"BET-132","Fix legacy $29 hardcodes to canonical $32 in create + worker pricing paths","critical","blocked","Shank","assigned","2026-04-03T18:52:37.452Z","daily P0 follow-up"
"BET-323","Demo auto-simulation execution: make demo boards visibly live end-to-end","critical","in_progress","Founding Engineer","assigned","2026-04-03T18:49:21.889Z","monitor"
"BET-327","Finalize Stripe pricing consistency and Sprint 3 UX closeout on public surfaces","critical","in_progress","Founding Engineer","assigned","2026-04-03T18:48:06.308Z","monitor"
"BET-342","Bug: /pricing/ returns 404 instead of pricing page","critical","todo","Founding Engineer","assigned","2026-04-03T18:13:36.897Z","daily P0 follow-up"
"BET-246","Pricing parity hardening: Stripe $32 event / $149 season","critical","in_progress","Founding Engineer","assigned","2026-04-03T16:44:25.306Z","monitor"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","todo","Founding Engineer","assigned","2026-04-03T16:15:40.318Z","daily P0 follow-up"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","Founding Engineer","assigned","2026-04-03T15:28:33.110Z","monitor"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","Founding Engineer","assigned","2026-04-03T15:04:46.893Z","daily P0 follow-up"
